"TIME","GEO","SECTPERF","UNIT","Value","Flag and Footnotes"
"2007","Slovenia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","0.916",""
"2007","Slovakia","All sectors","Million euro","252.1",""
"2007","Slovakia","All sectors","Euro per inhabitant","46.9",""
"2007","Slovakia","All sectors","Million units of national currency","282.63",""
"2007","Slovakia","All sectors","Million purchasing power standards (PPS)","420.267",""
"2007","Slovakia","All sectors","Million purchasing power standards (PPS) at 2005 prices","408.588",""
"2007","Slovakia","Business enterprise sector","Million euro","99.712",""
"2007","Slovakia","Business enterprise sector","Euro per inhabitant","18.6",""
"2007","Slovakia","Business enterprise sector","Million units of national currency","111.787",""
"2007","Slovakia","Business enterprise sector","Million purchasing power standards (PPS)","166.226",""
"2007","Slovakia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","161.607",""
"2007","Slovakia","Government sector","Million euro","89.133","d"
"2007","Slovakia","Government sector","Euro per inhabitant","16.6","d"
"2007","Slovakia","Government sector","Million units of national currency","99.927","d"
"2007","Slovakia","Government sector","Million purchasing power standards (PPS)","148.59","d"
"2007","Slovakia","Government sector","Million purchasing power standards (PPS) at 2005 prices","144.461","d"
"2007","Slovakia","Higher education sector","Million euro","63.01",""
"2007","Slovakia","Higher education sector","Euro per inhabitant","11.7",""
"2007","Slovakia","Higher education sector","Million units of national currency","70.64",""
"2007","Slovakia","Higher education sector","Million purchasing power standards (PPS)","105.041",""
"2007","Slovakia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","102.122",""
"2007","Slovakia","Private non-profit sector","Million euro","0.245",""
"2007","Slovakia","Private non-profit sector","Euro per inhabitant","0",""
"2007","Slovakia","Private non-profit sector","Million units of national currency","0.274",""
"2007","Slovakia","Private non-profit sector","Million purchasing power standards (PPS)","0.408",""
"2007","Slovakia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","0.396",""
"2007","Finland","All sectors","Million euro","6 242.67",""
"2007","Finland","All sectors","Euro per inhabitant","1 183",""
"2007","Finland","All sectors","Million units of national currency","6 242.67",""
"2007","Finland","All sectors","Million purchasing power standards (PPS)","5 499.181",""
"2007","Finland","All sectors","Million purchasing power standards (PPS) at 2005 prices","5 222.765",""
"2007","Finland","Business enterprise sector","Million euro","4 513.355",""
"2007","Finland","Business enterprise sector","Euro per inhabitant","855.3",""
"2007","Finland","Business enterprise sector","Million units of national currency","4 513.355",""
"2007","Finland","Business enterprise sector","Million purchasing power standards (PPS)","3 975.824",""
"2007","Finland","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","3 775.979",""
"2007","Finland","Government sector","Million euro","528.284",""
"2007","Finland","Government sector","Euro per inhabitant","100.1",""
"2007","Finland","Government sector","Million units of national currency","528.284",""
"2007","Finland","Government sector","Million purchasing power standards (PPS)","465.367",""
"2007","Finland","Government sector","Million purchasing power standards (PPS) at 2005 prices","441.975",""
"2007","Finland","Higher education sector","Million euro","1 164.648",""
"2007","Finland","Higher education sector","Euro per inhabitant","220.7",""
"2007","Finland","Higher education sector","Million units of national currency","1 164.648",""
"2007","Finland","Higher education sector","Million purchasing power standards (PPS)","1 025.941",""
"2007","Finland","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","974.372",""
"2007","Finland","Private non-profit sector","Million euro","36.386",""
"2007","Finland","Private non-profit sector","Euro per inhabitant","6.9",""
"2007","Finland","Private non-profit sector","Million units of national currency","36.386",""
"2007","Finland","Private non-profit sector","Million purchasing power standards (PPS)","32.053",""
"2007","Finland","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","30.441",""
"2007","Sweden","All sectors","Million euro","11 607.658",""
"2007","Sweden","All sectors","Euro per inhabitant","1 273.7",""
"2007","Sweden","All sectors","Million units of national currency","107 372",""
"2007","Sweden","All sectors","Million purchasing power standards (PPS)","9 965.011",""
"2007","Sweden","All sectors","Million purchasing power standards (PPS) at 2005 prices","9 188.029",""
"2007","Sweden","Business enterprise sector","Million euro","8 470.395",""
"2007","Sweden","Business enterprise sector","Euro per inhabitant","929.5",""
"2007","Sweden","Business enterprise sector","Million units of national currency","78 352",""
"2007","Sweden","Business enterprise sector","Million purchasing power standards (PPS)","7 271.715",""
"2007","Sweden","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","6 704.731",""
"2007","Sweden","Government sector","Million euro","573.615",""
"2007","Sweden","Government sector","Euro per inhabitant","62.9",""
"2007","Sweden","Government sector","Million units of national currency","5 306",""
"2007","Sweden","Government sector","Million purchasing power standards (PPS)","492.441",""
"2007","Sweden","Government sector","Million purchasing power standards (PPS) at 2005 prices","454.045",""
"2007","Sweden","Higher education sector","Million euro","2 544.297",""
"2007","Sweden","Higher education sector","Euro per inhabitant","279.2",""
"2007","Sweden","Higher education sector","Million units of national currency","23 535",""
"2007","Sweden","Higher education sector","Million purchasing power standards (PPS)","2 184.243",""
"2007","Sweden","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","2 013.935",""
"2007","Sweden","Private non-profit sector","Million euro","19.351","b"
"2007","Sweden","Private non-profit sector","Euro per inhabitant","2.1","b"
"2007","Sweden","Private non-profit sector","Million units of national currency","179","b"
"2007","Sweden","Private non-profit sector","Million purchasing power standards (PPS)","16.613","b"
"2007","Sweden","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","15.317","b"
"2007","United Kingdom","All sectors","Million euro","36 529.062",""
"2007","United Kingdom","All sectors","Euro per inhabitant","598.1",""
"2007","United Kingdom","All sectors","Million units of national currency","24 996.837",""
"2007","United Kingdom","All sectors","Million purchasing power standards (PPS)","29 022.219",""
"2007","United Kingdom","All sectors","Million purchasing power standards (PPS) at 2005 prices","28 435.179",""
"2007","United Kingdom","Business enterprise sector","Million euro","22 841.873",""
"2007","United Kingdom","Business enterprise sector","Euro per inhabitant","374",""
"2007","United Kingdom","Business enterprise sector","Million units of national currency","15 630.694",""
"2007","United Kingdom","Business enterprise sector","Million purchasing power standards (PPS)","18 147.793",""
"2007","United Kingdom","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","17 780.713",""
"2007","United Kingdom","Government sector","Million euro","3 346.265",""
"2007","United Kingdom","Government sector","Euro per inhabitant","54.8",""
"2007","United Kingdom","Government sector","Million units of national currency","2 289.849",""
"2007","United Kingdom","Government sector","Million purchasing power standards (PPS)","2 658.596",""
"2007","United Kingdom","Government sector","Million purchasing power standards (PPS) at 2005 prices","2 604.82",""
"2007","United Kingdom","Higher education sector","Million euro","9 527.098",""
"2007","United Kingdom","Higher education sector","Euro per inhabitant","156",""
"2007","United Kingdom","Higher education sector","Million units of national currency","6 519.393",""
"2007","United Kingdom","Higher education sector","Million purchasing power standards (PPS)","7 569.248",""
"2007","United Kingdom","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","7 416.143",""
"2007","United Kingdom","Private non-profit sector","Million euro","813.826",""
"2007","United Kingdom","Private non-profit sector","Euro per inhabitant","13.3",""
"2007","United Kingdom","Private non-profit sector","Million units of national currency","556.901",""
"2007","United Kingdom","Private non-profit sector","Million purchasing power standards (PPS)","646.582",""
"2007","United Kingdom","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","633.503",""
"2007","Iceland","All sectors","Million euro","400.897",""
"2007","Iceland","All sectors","Euro per inhabitant","1 303",""
"2007","Iceland","All sectors","Million units of national currency","35 130.575",""
"2007","Iceland","All sectors","Million purchasing power standards (PPS)","269.458",""
"2007","Iceland","All sectors","Million purchasing power standards (PPS) at 2005 prices","275.619",""
"2007","Iceland","Business enterprise sector","Million euro","218.744",""
"2007","Iceland","Business enterprise sector","Euro per inhabitant","711",""
"2007","Iceland","Business enterprise sector","Million units of national currency","19 168.534",""
"2007","Iceland","Business enterprise sector","Million purchasing power standards (PPS)","147.026",""
"2007","Iceland","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","150.388",""
"2007","Iceland","Government sector","Million euro","71.456",""
"2007","Iceland","Government sector","Euro per inhabitant","232.2",""
"2007","Iceland","Government sector","Million units of national currency","6 261.683",""
"2007","Iceland","Government sector","Million purchasing power standards (PPS)","48.028",""
"2007","Iceland","Government sector","Million purchasing power standards (PPS) at 2005 prices","49.126",""
"2007","Iceland","Higher education sector","Million euro","100.79",""
"2007","Iceland","Higher education sector","Euro per inhabitant","327.6",""
"2007","Iceland","Higher education sector","Million units of national currency","8 832.247",""
"2007","Iceland","Higher education sector","Million purchasing power standards (PPS)","67.745",""
"2007","Iceland","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","69.294",""
"2007","Iceland","Private non-profit sector","Million euro","9.907",""
"2007","Iceland","Private non-profit sector","Euro per inhabitant","32.2",""
"2007","Iceland","Private non-profit sector","Million units of national currency","868.111",""
"2007","Iceland","Private non-profit sector","Million purchasing power standards (PPS)","6.659",""
"2007","Iceland","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","6.811",""
"2007","Norway","All sectors","Million euro","4 586.815",""
"2007","Norway","All sectors","Euro per inhabitant","979.9",""
"2007","Norway","All sectors","Million units of national currency","36 770.2",""
"2007","Norway","All sectors","Million purchasing power standards (PPS)","3 393.431",""
"2007","Norway","All sectors","Million purchasing power standards (PPS) at 2005 prices","3 095.382",""
"2007","Norway","Business enterprise sector","Million euro","2 409.955",""
"2007","Norway","Business enterprise sector","Euro per inhabitant","514.8",""
"2007","Norway","Business enterprise sector","Million units of national currency","19 319.4",""
"2007","Norway","Business enterprise sector","Million purchasing power standards (PPS)","1 782.94",""
"2007","Norway","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","1 626.342",""
"2007","Norway","Government sector","Million euro","714.514","b"
"2007","Norway","Government sector","Euro per inhabitant","152.6","b"
"2007","Norway","Government sector","Million units of national currency","5 727.9","b"
"2007","Norway","Government sector","Million purchasing power standards (PPS)","528.614","b"
"2007","Norway","Government sector","Million purchasing power standards (PPS) at 2005 prices","482.185","b"
"2007","Norway","Higher education sector","Million euro","1 462.346","b"
"2007","Norway","Higher education sector","Euro per inhabitant","312.4","b"
"2007","Norway","Higher education sector","Million units of national currency","11 722.9","b"
"2007","Norway","Higher education sector","Million purchasing power standards (PPS)","1 081.878","b"
"2007","Norway","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","986.855","b"
"2007","Norway","Private non-profit sector","Million euro",":",""
"2007","Norway","Private non-profit sector","Euro per inhabitant",":",""
"2007","Norway","Private non-profit sector","Million units of national currency",":",""
"2007","Norway","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Norway","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Switzerland","All sectors","Million euro",":",""
"2007","Switzerland","All sectors","Euro per inhabitant",":",""
"2007","Switzerland","All sectors","Million units of national currency",":",""
"2007","Switzerland","All sectors","Million purchasing power standards (PPS)",":",""
"2007","Switzerland","All sectors","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Switzerland","Business enterprise sector","Million euro",":",""
"2007","Switzerland","Business enterprise sector","Euro per inhabitant",":",""
"2007","Switzerland","Business enterprise sector","Million units of national currency",":",""
"2007","Switzerland","Business enterprise sector","Million purchasing power standards (PPS)",":",""
"2007","Switzerland","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Switzerland","Government sector","Million euro",":",""
"2007","Switzerland","Government sector","Euro per inhabitant",":",""
"2007","Switzerland","Government sector","Million units of national currency",":",""
"2007","Switzerland","Government sector","Million purchasing power standards (PPS)",":",""
"2007","Switzerland","Government sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Switzerland","Higher education sector","Million euro",":",""
"2007","Switzerland","Higher education sector","Euro per inhabitant",":",""
"2007","Switzerland","Higher education sector","Million units of national currency",":",""
"2007","Switzerland","Higher education sector","Million purchasing power standards (PPS)",":",""
"2007","Switzerland","Higher education sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Switzerland","Private non-profit sector","Million euro",":",""
"2007","Switzerland","Private non-profit sector","Euro per inhabitant",":",""
"2007","Switzerland","Private non-profit sector","Million units of national currency",":",""
"2007","Switzerland","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Switzerland","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Montenegro","All sectors","Million euro",":",""
"2007","Montenegro","All sectors","Euro per inhabitant",":",""
"2007","Montenegro","All sectors","Million units of national currency",":",""
"2007","Montenegro","All sectors","Million purchasing power standards (PPS)",":",""
"2007","Montenegro","All sectors","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Montenegro","Business enterprise sector","Million euro",":",""
"2007","Montenegro","Business enterprise sector","Euro per inhabitant",":",""
"2007","Montenegro","Business enterprise sector","Million units of national currency",":",""
"2007","Montenegro","Business enterprise sector","Million purchasing power standards (PPS)",":",""
"2007","Montenegro","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Montenegro","Government sector","Million euro",":",""
"2007","Montenegro","Government sector","Euro per inhabitant",":",""
"2007","Montenegro","Government sector","Million units of national currency",":",""
"2007","Montenegro","Government sector","Million purchasing power standards (PPS)",":",""
"2007","Montenegro","Government sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Montenegro","Higher education sector","Million euro",":",""
"2007","Montenegro","Higher education sector","Euro per inhabitant",":",""
"2007","Montenegro","Higher education sector","Million units of national currency",":",""
"2007","Montenegro","Higher education sector","Million purchasing power standards (PPS)",":",""
"2007","Montenegro","Higher education sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Montenegro","Private non-profit sector","Million euro",":",""
"2007","Montenegro","Private non-profit sector","Euro per inhabitant",":",""
"2007","Montenegro","Private non-profit sector","Million units of national currency",":",""
"2007","Montenegro","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Montenegro","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Former Yugoslav Republic of Macedonia, the","All sectors","Million euro",":",""
"2007","Former Yugoslav Republic of Macedonia, the","All sectors","Euro per inhabitant",":",""
"2007","Former Yugoslav Republic of Macedonia, the","All sectors","Million units of national currency",":",""
"2007","Former Yugoslav Republic of Macedonia, the","All sectors","Million purchasing power standards (PPS)",":",""
"2007","Former Yugoslav Republic of Macedonia, the","All sectors","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Business enterprise sector","Million euro",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Business enterprise sector","Euro per inhabitant",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Business enterprise sector","Million units of national currency",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Business enterprise sector","Million purchasing power standards (PPS)",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Government sector","Million euro",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Government sector","Euro per inhabitant",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Government sector","Million units of national currency",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Government sector","Million purchasing power standards (PPS)",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Government sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Higher education sector","Million euro",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Higher education sector","Euro per inhabitant",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Higher education sector","Million units of national currency",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Higher education sector","Million purchasing power standards (PPS)",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Higher education sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Private non-profit sector","Million euro",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Private non-profit sector","Euro per inhabitant",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Private non-profit sector","Million units of national currency",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Serbia","All sectors","Million euro",":",""
"2007","Serbia","All sectors","Euro per inhabitant",":",""
"2007","Serbia","All sectors","Million units of national currency",":",""
"2007","Serbia","All sectors","Million purchasing power standards (PPS)",":",""
"2007","Serbia","All sectors","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Serbia","Business enterprise sector","Million euro",":",""
"2007","Serbia","Business enterprise sector","Euro per inhabitant",":",""
"2007","Serbia","Business enterprise sector","Million units of national currency",":",""
"2007","Serbia","Business enterprise sector","Million purchasing power standards (PPS)",":",""
"2007","Serbia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Serbia","Government sector","Million euro",":",""
"2007","Serbia","Government sector","Euro per inhabitant",":",""
"2007","Serbia","Government sector","Million units of national currency",":",""
"2007","Serbia","Government sector","Million purchasing power standards (PPS)",":",""
"2007","Serbia","Government sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Serbia","Higher education sector","Million euro",":",""
"2007","Serbia","Higher education sector","Euro per inhabitant",":",""
"2007","Serbia","Higher education sector","Million units of national currency",":",""
"2007","Serbia","Higher education sector","Million purchasing power standards (PPS)",":",""
"2007","Serbia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Serbia","Private non-profit sector","Million euro",":",""
"2007","Serbia","Private non-profit sector","Euro per inhabitant",":",""
"2007","Serbia","Private non-profit sector","Million units of national currency",":",""
"2007","Serbia","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Serbia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Turkey","All sectors","Million euro","3 409.56",""
"2007","Turkey","All sectors","Euro per inhabitant","48.9",""
"2007","Turkey","All sectors","Million units of national currency","6 091.179",""
"2007","Turkey","All sectors","Million purchasing power standards (PPS)","5 892.028",""
"2007","Turkey","All sectors","Million purchasing power standards (PPS) at 2005 prices","5 338.309",""
"2007","Turkey","Business enterprise sector","Million euro","1 406.934",""
"2007","Turkey","Business enterprise sector","Euro per inhabitant","20.2",""
"2007","Turkey","Business enterprise sector","Million units of national currency","2 513.487",""
"2007","Turkey","Business enterprise sector","Million purchasing power standards (PPS)","2 431.309",""
"2007","Turkey","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","2 202.82",""
"2007","Turkey","Government sector","Million euro","359.833",""
"2007","Turkey","Government sector","Euro per inhabitant","5.2",""
"2007","Turkey","Government sector","Million units of national currency","642.842",""
"2007","Turkey","Government sector","Million purchasing power standards (PPS)","621.824",""
"2007","Turkey","Government sector","Million purchasing power standards (PPS) at 2005 prices","563.387",""
"2007","Turkey","Higher education sector","Million euro","1 642.793",""
"2007","Turkey","Higher education sector","Euro per inhabitant","23.6",""
"2007","Turkey","Higher education sector","Million units of national currency","2 934.85",""
"2007","Turkey","Higher education sector","Million purchasing power standards (PPS)","2 838.895",""
"2007","Turkey","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","2 572.102",""
"2007","Turkey","Private non-profit sector","Million euro",":",""
"2007","Turkey","Private non-profit sector","Euro per inhabitant",":",""
"2007","Turkey","Private non-profit sector","Million units of national currency",":",""
"2007","Turkey","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Turkey","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Bosnia and Herzegovina","All sectors","Million euro",":",""
"2007","Bosnia and Herzegovina","All sectors","Euro per inhabitant",":",""
"2007","Bosnia and Herzegovina","All sectors","Million units of national currency",":",""
"2007","Bosnia and Herzegovina","All sectors","Million purchasing power standards (PPS)",":",""
"2007","Bosnia and Herzegovina","All sectors","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Bosnia and Herzegovina","Business enterprise sector","Million euro",":",""
"2007","Bosnia and Herzegovina","Business enterprise sector","Euro per inhabitant",":",""
"2007","Bosnia and Herzegovina","Business enterprise sector","Million units of national currency",":",""
"2007","Bosnia and Herzegovina","Business enterprise sector","Million purchasing power standards (PPS)",":",""
"2007","Bosnia and Herzegovina","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Bosnia and Herzegovina","Government sector","Million euro",":",""
"2007","Bosnia and Herzegovina","Government sector","Euro per inhabitant",":",""
"2007","Bosnia and Herzegovina","Government sector","Million units of national currency",":",""
"2007","Bosnia and Herzegovina","Government sector","Million purchasing power standards (PPS)",":",""
"2007","Bosnia and Herzegovina","Government sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Bosnia and Herzegovina","Higher education sector","Million euro",":",""
"2007","Bosnia and Herzegovina","Higher education sector","Euro per inhabitant",":",""
"2007","Bosnia and Herzegovina","Higher education sector","Million units of national currency",":",""
"2007","Bosnia and Herzegovina","Higher education sector","Million purchasing power standards (PPS)",":",""
"2007","Bosnia and Herzegovina","Higher education sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Bosnia and Herzegovina","Private non-profit sector","Million euro",":",""
"2007","Bosnia and Herzegovina","Private non-profit sector","Euro per inhabitant",":",""
"2007","Bosnia and Herzegovina","Private non-profit sector","Million units of national currency",":",""
"2007","Bosnia and Herzegovina","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","Bosnia and Herzegovina","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Russia","All sectors","Million euro","10 596.754",""
"2007","Russia","All sectors","Euro per inhabitant","74.5",""
"2007","Russia","All sectors","Million units of national currency","371 080.3",""
"2007","Russia","All sectors","Million purchasing power standards (PPS)","26 044.744",""
"2007","Russia","All sectors","Million purchasing power standards (PPS) at 2005 prices","25 381.666",""
"2007","Russia","Business enterprise sector","Million euro","6 807.475",""
"2007","Russia","Business enterprise sector","Euro per inhabitant","47.9",""
"2007","Russia","Business enterprise sector","Million units of national currency","238 386.2",""
"2007","Russia","Business enterprise sector","Million purchasing power standards (PPS)","16 731.439",""
"2007","Russia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","16 305.471",""
"2007","Russia","Government sector","Million euro","3 083.671",""
"2007","Russia","Government sector","Euro per inhabitant","21.7",""
"2007","Russia","Government sector","Million units of national currency","107 984.9",""
"2007","Russia","Government sector","Million purchasing power standards (PPS)","7 579.058",""
"2007","Russia","Government sector","Million purchasing power standards (PPS) at 2005 prices","7 386.101",""
"2007","Russia","Higher education sector","Million euro","670.275",""
"2007","Russia","Higher education sector","Euro per inhabitant","4.7",""
"2007","Russia","Higher education sector","Million units of national currency","23 471.9",""
"2007","Russia","Higher education sector","Million purchasing power standards (PPS)","1 647.405",""
"2007","Russia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1 605.464",""
"2007","Russia","Private non-profit sector","Million euro","35.333",""
"2007","Russia","Private non-profit sector","Euro per inhabitant","0.2",""
"2007","Russia","Private non-profit sector","Million units of national currency","1 237.3",""
"2007","Russia","Private non-profit sector","Million purchasing power standards (PPS)","86.842",""
"2007","Russia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","84.631",""
"2007","United States","All sectors","Million euro","277 501.642","d"
"2007","United States","All sectors","Euro per inhabitant","919.8","d"
"2007","United States","All sectors","Million units of national currency","380 316","d"
"2007","United States","All sectors","Million purchasing power standards (PPS)","313 610.951","d"
"2007","United States","All sectors","Million purchasing power standards (PPS) at 2005 prices","305 415.164","d"
"2007","United States","Business enterprise sector","Million euro","196 473.55","d"
"2007","United States","Business enterprise sector","Euro per inhabitant","651.2","d"
"2007","United States","Business enterprise sector","Million units of national currency","269 267","d"
"2007","United States","Business enterprise sector","Million purchasing power standards (PPS)","222 039.251","d"
"2007","United States","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","216 236.564","d"
"2007","United States","Government sector","Million euro","32 617.293","d"
"2007","United States","Government sector","Euro per inhabitant","108.1","d"
"2007","United States","Government sector","Million units of national currency","44 702","d"
"2007","United States","Government sector","Million purchasing power standards (PPS)","36 861.549","d"
"2007","United States","Government sector","Million purchasing power standards (PPS) at 2005 prices","35 898.223","d"
"2007","United States","Higher education sector","Million euro","37 321.416","d"
"2007","United States","Higher education sector","Euro per inhabitant","123.7","d"
"2007","United States","Higher education sector","Million units of national currency","51 149","d"
"2007","United States","Higher education sector","Million purchasing power standards (PPS)","42 177.785","d"
"2007","United States","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","41 075.527","d"
"2007","United States","Private non-profit sector","Million euro","11 089.383","de"
"2007","United States","Private non-profit sector","Euro per inhabitant","36.8","de"
"2007","United States","Private non-profit sector","Million units of national currency","15 198","de"
"2007","United States","Private non-profit sector","Million purchasing power standards (PPS)","12 532.366","de"
"2007","United States","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","12 204.85","de"
"2007","China except Hong Kong","All sectors","Million euro","35 614.448",""
"2007","China except Hong Kong","All sectors","Euro per inhabitant","27",""
"2007","China except Hong Kong","All sectors","Million units of national currency","371 024.2",""
"2007","China except Hong Kong","All sectors","Million purchasing power standards (PPS)","99 654.643",""
"2007","China except Hong Kong","All sectors","Million purchasing power standards (PPS) at 2005 prices","97 109.668",""
"2007","China except Hong Kong","Business enterprise sector","Million euro","25 743.833",""
"2007","China except Hong Kong","Business enterprise sector","Euro per inhabitant","19.5",""
"2007","China except Hong Kong","Business enterprise sector","Million units of national currency","268 194.1",""
"2007","China except Hong Kong","Business enterprise sector","Million purchasing power standards (PPS)","72 035.159",""
"2007","China except Hong Kong","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","70 195.529",""
"2007","China except Hong Kong","Government sector","Million euro","6 849.94",""
"2007","China except Hong Kong","Government sector","Euro per inhabitant","5.2",""
"2007","China except Hong Kong","Government sector","Million units of national currency","71 361.3",""
"2007","China except Hong Kong","Government sector","Million purchasing power standards (PPS)","19 167.173",""
"2007","China except Hong Kong","Government sector","Million purchasing power standards (PPS) at 2005 prices","18 677.682",""
"2007","China except Hong Kong","Higher education sector","Million euro","3 020.676",""
"2007","China except Hong Kong","Higher education sector","Euro per inhabitant","2.3",""
"2007","China except Hong Kong","Higher education sector","Million units of national currency","31 468.8",""
"2007","China except Hong Kong","Higher education sector","Million purchasing power standards (PPS)","8 452.311",""
"2007","China except Hong Kong","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","8 236.457",""
"2007","China except Hong Kong","Private non-profit sector","Million euro",":",""
"2007","China except Hong Kong","Private non-profit sector","Euro per inhabitant",":",""
"2007","China except Hong Kong","Private non-profit sector","Million units of national currency",":",""
"2007","China except Hong Kong","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2007","China except Hong Kong","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2007","Japan","All sectors","Million euro","110 116.205",""
"2007","Japan","All sectors","Euro per inhabitant","860.4",""
"2007","Japan","All sectors","Million units of national currency","17 756 238",""
"2007","Japan","All sectors","Million purchasing power standards (PPS)","121 712.271",""
"2007","Japan","All sectors","Million purchasing power standards (PPS) at 2005 prices","118 893.152",""
"2007","Japan","Business enterprise sector","Million euro","85 770.127",""
"2007","Japan","Business enterprise sector","Euro per inhabitant","670.2",""
"2007","Japan","Business enterprise sector","Million units of national currency","13 830 433",""
"2007","Japan","Business enterprise sector","Million purchasing power standards (PPS)","94 802.368",""
"2007","Japan","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","92 606.54",""
"2007","Japan","Government sector","Million euro","8 554.257",""
"2007","Japan","Government sector","Euro per inhabitant","66.8",""
"2007","Japan","Government sector","Million units of national currency","1 379 374",""
"2007","Japan","Government sector","Million purchasing power standards (PPS)","9 455.085",""
"2007","Japan","Government sector","Million purchasing power standards (PPS) at 2005 prices","9 236.085",""
